order_id,distance_km,shipment_volume_units,delivery_time_min,transport_cost,delay_min,route_type
ORD0099,26.0,171,95.8,331.73,18.1,Suburban
ORD0100,44.9,200,150.3,232.64,-3.8,Urban
ORD0101,5.0,239,144.2,244.38,22.6,Suburban
ORD0102,24.2,84,145.5,230.15,8.3,Suburban
ORD0103,27.9,59,121.8,233.01,2.2,Urban
ORD0104,51.3,73,172.3,263.08,-8.5,Suburban
ORD0105,13.7,243,151.0,140.11,12.9,Suburban
ORD0106,5.0,61,126.4,207.08,7.5,Suburban
ORD0107,9.2,96,78.3,323.76,50.1,Suburban
ORD0108,33.9,156,139.0,234.78,7.5,Suburban
ORD0109,42.1,102,137.8,171.09,-20.0,Intercity
ORD0110,56.0,38,118.3,228.06,54.0,Intercity
ORD0111,36.0,55,140.0,303.48,-20.0,Urban
ORD0112,18.0,99,141.9,204.61,44.8,Intercity
ORD0113,43.3,223,104.6,206.34,-10.5,Intercity
ORD0114,29.8,172,134.8,259.52,39.0,Intercity
ORD0115,27.0,64,127.1,288.11,4.3,Suburban
ORD0116,30.3,83,126.0,337.89,20.3,Urban
ORD0117,49.1,237,103.0,210.26,9.0,Intercity
ORD0118,16.5,79,98.8,248.26,5.9,Intercity
ORD0119,14.6,80,119.2,303.65,19.8,Intercity
ORD0120,29.0,73,165.1,69.4,-5.8,Intercity
ORD0121,29.0,45,196.4,232.18,18.9,Urban
ORD0122,17.8,128,102.1,257.55,-15.4,Intercity
ORD0123,16.8,227,78.1,214.25,-7.8,Urban
ORD0124,35.7,193,103.0,153.16,-2.9,Urban
ORD0125,50.1,168,85.8,267.55,6.1,Intercity
ORD0126,40.7,80,100.4,319.92,35.0,Suburban
ORD0127,40.3,188,128.9,214.09,-10.1,Urban
ORD0128,48.7,142,83.0,182.79,-10.7,Urban
ORD0129,5.0,165,136.3,204.14,-16.5,Suburban
ORD0130,7.3,247,142.7,345.17,-0.7,Urban
ORD0131,19.4,229,168.1,320.35,20.6,Urban
ORD0132,12.1,135,178.7,224.92,-8.2,Intercity
ORD0133,15.2,163,149.9,134.28,1.7,Urban
ORD0134,31.0,82,194.4,120.91,-4.8,Suburban
ORD0135,10.7,166,97.5,196.0,10.0,Intercity
ORD0136,23.3,212,124.7,196.6,-20.0,Intercity
ORD0137,5.0,55,121.0,243.0,21.2,Urban
ORD0138,15.4,228,130.4,131.8,28.5,Intercity
ORD0139,50.2,21,150.9,211.91,-10.2,Intercity
ORD0140,21.9,191,103.7,264.33,6.6,Urban
ORD0141,34.9,79,175.0,87.55,-11.9,Suburban
ORD0142,40.6,94,159.7,404.86,30.2,Urban
ORD0143,22.6,107,127.4,267.93,22.0,Suburban
ORD0144,38.7,135,131.5,264.03,71.9,Intercity
ORD0145,33.2,163,81.3,118.39,3.6,Urban
ORD0146,40.5,93,35.0,140.48,-11.1,Suburban
ORD0147,20.5,135,112.2,303.39,-2.4,Suburban
ORD0148,8.4,232,126.3,293.07,-19.4,Intercity
ORD0149,14.7,173,123.2,50.0,12.8,Intercity
ORD0150,21.7,22,76.9,314.52,15.1,Intercity
