shipment_id,distance_km,shipment_volume,transportation_cost,traffic_level,vehicle_type,weather_condition,delivery_time_days
S0191,348,9,489.14,High,Van,Cloudy,10.97
S0192,323,74,674.49,Medium,Truck,Rain,11.44
S0193,312,83,626.71,Medium,Bike,Rain,10.26
S0194,194,14,362.56,High,Truck,Rain,10.48
S0195,481,44,756.49,Low,Truck,Rain,14.99
S0196,62,13,153.96,Low,Van,Rain,1.21
S0197,184,57,440.59,Low,Bike,Clear,6.33
S0198,76,93,419.51,Medium,Truck,Clear,5.22
S0199,183,9,303.49,Medium,Van,Clear,6.96
S0200,482,40,826.01,Medium,Van,Cloudy,10.75
S0201,196,98,575.37,High,Van,Clear,11.81
S0202,457,31,681.37,Low,Van,Rain,14.19
S0203,258,14,321.51,Medium,Van,Cloudy,9.91
S0204,356,49,586.36,Low,Truck,Clear,6.48
S0205,240,51,486.96,Low,Truck,Clear,8.56
S0206,147,67,405.79,Medium,Van,Clear,6.89
S0207,387,32,676.83,High,Van,Clear,9.51
S0208,486,96,900.28,Medium,Bike,Rain,14.1
S0209,146,53,454.28,Low,Truck,Cloudy,6.53
S0210,394,29,617.08,Medium,Truck,Cloudy,12.76
S0211,145,97,520.03,Low,Van,Clear,5.27
S0212,364,93,755.0,High,Bike,Clear,12.55
S0213,399,50,679.02,Medium,Van,Clear,13.41
S0214,236,3,437.15,Low,Van,Cloudy,8.48
S0215,374,60,573.72,Low,Bike,Cloudy,3.65
S0216,150,56,319.23,Low,Truck,Clear,4.8
S0217,58,15,164.26,High,Truck,Rain,8.28
S0218,66,64,335.75,Medium,Truck,Clear,2.28
S0219,235,85,619.3,Medium,Truck,Rain,10.81
S0220,454,11,654.19,Medium,Van,Clear,13.67
S0221,81,73,360.26,Medium,Van,Clear,3.04
S0222,239,15,442.71,Low,Van,Rain,8.34
S0223,358,75,748.06,High,Van,Clear,10.62
S0224,117,42,340.43,Low,Bike,Clear,2.17
S0225,367,1,548.17,Medium,Van,Clear,12.36
S0226,167,97,555.92,Medium,Truck,Clear,6.69
S0227,408,17,571.53,Medium,Truck,Cloudy,12.71
S0228,298,60,622.1,High,Truck,Rain,10.21
S0229,283,19,463.63,Low,Van,Rain,11.92
S0230,105,94,464.01,Medium,Truck,Clear,7.55
S0231,242,74,631.78,Medium,Bike,Clear,7.26
S0232,432,81,693.31,Medium,Truck,Clear,13.45
S0233,29,44,172.75,Low,Bike,Clear,1.0
S0234,384,47,599.78,Low,Bike,Clear,10.54
S0235,257,64,538.4,Low,Truck,Rain,8.73
S0236,366,79,710.64,Low,Van,Rain,10.35
S0237,339,85,640.02,Medium,Truck,Cloudy,10.35
S0238,227,2,302.32,Medium,Van,Clear,5.97
S0239,168,67,422.06,Medium,Truck,Clear,8.61
S0240,321,11,590.53,Medium,Bike,Clear,8.94
