order_id,date,distance_km,shipment_volume_units,traffic_level,vehicle_type,weather,delivery_time_min,transport_cost,delay_min
ORD0073,2026-03-14,15.13,114,High,Bike,Cloudy,96.6,203.31,3.9
ORD0074,2026-03-15,34.96,129,Medium,Van,Clear,146.5,246.94,24.0
ORD0075,2026-03-16,29.99,120,Low,Truck,Clear,112.6,185.78,-2.4
ORD0076,2026-03-17,37.67,107,Medium,Bike,Rain,174.0,238.51,47.5
ORD0077,2026-03-18,22.02,120,Low,Bike,Clear,95.3,168.89,-7.7
ORD0078,2026-03-19,30.22,109,High,Bike,Clear,133.5,218.32,18.1
ORD0079,2026-03-20,36.76,119,Medium,Van,Rain,165.3,280.47,40.2
ORD0080,2026-03-21,23.67,126,Low,Van,Clear,98.9,66.93,-6.6
ORD0081,2026-03-22,34.39,97,Low,Van,Clear,110.7,126.0,-10.9
ORD0082,2026-03-23,18.73,112,Low,Van,Rain,98.4,132.75,0.3
ORD0083,2026-03-24,22.92,114,High,Truck,Rain,132.3,207.83,27.9
ORD0084,2026-03-25,22.66,108,Medium,Truck,Clear,93.9,198.34,-10.1
ORD0085,2026-03-26,11.26,119,Medium,Bike,Cloudy,80.8,175.01,-6.1
ORD0086,2026-03-27,34.82,123,Medium,Bike,Clear,122.8,219.49,0.5
ORD0087,2026-03-28,21.43,129,Medium,Truck,Clear,120.5,217.61,18.4
ORD0088,2026-03-29,28.17,95,Low,Bike,Clear,108.5,223.99,-3.8
ORD0089,2026-03-30,34.73,117,High,Van,Clear,138.7,244.02,16.6
ORD0090,2026-03-31,34.25,111,Medium,Van,Cloudy,132.7,249.1,11.3
ORD0091,2026-04-01,37.32,121,Medium,Truck,Cloudy,146.3,222.16,20.3
ORD0092,2026-04-02,26.62,110,Medium,Bike,Clear,120.1,179.37,10.2
ORD0093,2026-04-03,22.07,109,Medium,Van,Clear,93.2,204.2,-9.9
ORD0094,2026-04-04,26.88,135,High,Truck,Clear,123.2,251.61,12.9
ORD0095,2026-04-05,4.38,129,Low,Truck,Rain,92.4,140.58,15.8
ORD0096,2026-04-06,7.74,106,Medium,Van,Clear,71.3,198.8,-10.3
ORD0097,2026-04-07,9.48,96,Medium,Van,Cloudy,63.1,50.0,-21.2
ORD0098,2026-04-08,14.04,111,Medium,Bike,Clear,88.1,91.67,-3.0
ORD0099,2026-04-09,33.6,135,Low,Truck,Clear,135.1,174.78,14.7
ORD0100,2026-04-10,15.32,101,Low,Van,Cloudy,68.5,137.83,-24.5
ORD0101,2026-04-11,22.71,104,Low,Bike,Cloudy,102.7,165.73,-1.4
ORD0102,2026-04-12,46.19,98,Medium,Van,Clear,160.6,168.6,21.3
ORD0103,2026-04-13,23.01,132,Medium,Bike,Cloudy,114.2,164.06,9.6
ORD0104,2026-04-14,38.33,122,Medium,Van,Rain,158.2,203.84,30.8
ORD0105,2026-04-15,14.93,103,Medium,Truck,Clear,75.8,229.82,-16.6
ORD0106,2026-04-16,25.12,99,Medium,Van,Clear,114.6,245.48,6.9
ORD0107,2026-04-17,14.7,109,Medium,Van,Clear,86.9,150.4,-5.1
ORD0108,2026-04-18,23.25,114,Low,Bike,Cloudy,94.2,156.71,-10.7
ORD0109,2026-04-19,39.76,93,Medium,Van,Clear,152.3,186.02,22.6
ORD0110,2026-04-20,3.82,122,Medium,Van,Clear,84.6,61.77,8.8
ORD0111,2026-04-21,34.08,122,Low,Van,Clear,143.5,190.87,22.4
ORD0112,2026-04-22,31.33,124,Medium,Truck,Rain,156.0,174.7,39.0
ORD0113,2026-04-23,19.68,117,Medium,Bike,Clear,99.7,194.82,0.2
ORD0114,2026-04-24,7.76,101,Low,Bike,Cloudy,66.6,50.0,-15.0
ORD0115,2026-04-25,29.01,104,Medium,Van,Clear,128.6,170.33,15.1
ORD0116,2026-04-26,20.59,108,Medium,Van,Rain,114.2,185.13,13.3
ORD0117,2026-04-27,31.26,102,Medium,Van,Clear,127.0,224.5,10.1
ORD0118,2026-04-28,28.31,105,Medium,Truck,Clear,132.5,207.51,20.0
ORD0119,2026-04-29,50.42,96,Medium,Bike,Rain,166.9,186.8,21.2
ORD0120,2026-04-30,24.65,133,Medium,Truck,Rain,117.9,223.6,10.9
ORD0121,2026-05-01,13.67,127,Medium,Truck,Clear,92.1,156.98,1.6
ORD0122,2026-05-02,30.51,119,Medium,Van,Clear,126.9,202.92,11.2
ORD0123,2026-05-03,31.08,127,Medium,Bike,Cloudy,126.5,219.76,9.9
ORD0124,2026-05-04,47.03,94,Medium,Truck,Rain,176.1,197.83,35.5
ORD0125,2026-05-05,39.69,112,Medium,Van,Clear,150.3,218.6,20.8
ORD0126,2026-05-06,33.0,105,Medium,Van,Clear,121.2,208.09,1.7
ORD0127,2026-05-07,48.49,112,Medium,Van,Cloudy,172.1,271.45,29.4
ORD0128,2026-05-08,11.36,105,High,Van,Cloudy,103.7,186.84,16.6
ORD0129,2026-05-09,19.04,125,High,Van,Cloudy,98.7,255.61,0.1
ORD0130,2026-05-10,15.03,137,Medium,Truck,Clear,117.2,224.13,24.7
ORD0131,2026-05-11,22.54,117,Medium,Truck,Clear,108.3,192.18,4.5
ORD0132,2026-05-12,8.73,119,Medium,Van,Rain,68.6,177.1,-14.5
ORD0133,2026-05-13,36.89,118,Medium,Van,Rain,138.3,317.95,13.0
ORD0134,2026-05-14,24.89,110,High,Bike,Cloudy,110.2,284.72,2.8
ORD0135,2026-05-15,7.41,108,Medium,Bike,Clear,74.3,110.31,-6.8
ORD0136,2026-05-16,13.78,134,Low,Truck,Clear,81.0,104.99,-9.7
ORD0137,2026-05-17,32.39,125,Low,Van,Cloudy,118.2,247.21,-0.4
ORD0138,2026-05-18,39.73,99,High,Bike,Clear,155.2,202.73,25.6
ORD0139,2026-05-19,55.95,129,Low,Van,Rain,185.1,229.47,31.2
ORD0140,2026-05-20,68.79,123,Low,Van,Clear,196.4,260.55,23.2
ORD0141,2026-05-21,33.8,122,Medium,Bike,Cloudy,136.9,241.17,16.2
ORD0142,2026-05-22,14.15,104,Low,Truck,Rain,102.7,136.52,11.5
ORD0143,2026-05-23,3.0,148,Medium,Truck,Clear,48.0,123.58,-25.0
ORD0144,2026-05-24,31.75,115,Medium,Truck,Clear,128.2,196.62,10.6
ORD0145,2026-05-25,16.62,115,Low,Truck,Cloudy,72.3,153.78,-22.6
ORD0146,2026-05-26,22.18,125,High,Van,Clear,117.9,182.34,14.6
ORD0147,2026-05-27,19.43,116,High,Van,Clear,105.9,249.0,6.8
ORD0148,2026-05-28,26.03,104,Medium,Van,Cloudy,129.1,201.74,20.0
ORD0149,2026-05-29,42.92,117,Low,Van,Rain,162.5,236.26,28.2
ORD0150,2026-05-30,30.2,107,Medium,Bike,Clear,120.6,178.78,5.3
ORD0151,2026-05-31,25.78,117,Low,Van,Clear,102.9,192.97,-5.7
ORD0152,2026-06-01,13.5,107,Medium,Truck,Clear,99.8,142.37,9.6
ORD0153,2026-06-02,4.55,108,High,Bike,Clear,67.5,50.0,-9.3
ORD0154,2026-06-03,21.19,112,High,Bike,Clear,108.0,134.64,6.2
ORD0155,2026-06-04,27.25,110,Medium,Van,Clear,128.2,132.94,17.3
ORD0156,2026-06-05,52.75,99,Medium,Truck,Cloudy,168.1,169.3,19.0
ORD0157,2026-06-06,29.82,118,Medium,Bike,Clear,126.7,150.6,12.0
ORD0158,2026-06-07,41.76,114,Medium,Truck,Rain,170.6,287.71,38.0
ORD0159,2026-06-08,21.01,109,Medium,Bike,Clear,91.6,194.97,-9.9
ORD0160,2026-06-09,11.41,110,Medium,Bike,Clear,93.2,206.21,6.1
ORD0161,2026-06-10,14.49,118,Low,Bike,Cloudy,84.9,126.95,-6.8
ORD0162,2026-06-11,17.85,108,Low,Van,Rain,100.5,185.65,3.7
ORD0163,2026-06-12,57.8,106,Medium,Truck,Clear,176.5,250.94,19.8
ORD0164,2026-06-13,16.5,136,Low,Van,Clear,76.4,174.56,-18.3
ORD0165,2026-06-14,39.74,113,Low,Truck,Clear,137.0,265.73,7.4
ORD0166,2026-06-15,15.36,99,High,Bike,Clear,99.9,130.82,6.8
ORD0167,2026-06-16,41.04,99,High,Truck,Clear,147.3,264.69,15.7
ORD0168,2026-06-17,33.39,125,Medium,Van,Clear,135.9,242.11,15.8
ORD0169,2026-06-18,25.81,122,High,Van,Clear,104.4,167.62,-4.3
ORD0170,2026-06-19,27.43,133,High,Bike,Clear,124.9,200.25,13.7
ORD0171,2026-06-20,18.83,109,Low,Van,Rain,102.8,120.59,4.6
ORD0172,2026-06-21,34.25,126,Medium,Van,Cloudy,165.4,231.75,44.0
ORD0173,2026-06-22,21.63,117,Medium,Van,Clear,86.5,182.52,-15.9
ORD0174,2026-06-23,10.84,131,Low,Van,Clear,93.5,118.93,7.2
ORD0175,2026-06-24,10.11,126,Medium,Truck,Clear,89.7,165.56,4.6
ORD0176,2026-06-25,30.42,122,Medium,Truck,Clear,133.4,228.3,17.8
ORD0177,2026-06-26,50.11,100,Medium,Van,Cloudy,169.3,285.13,24.1
ORD0178,2026-06-27,30.24,115,Low,Van,Rain,130.6,246.75,15.2
ORD0179,2026-06-28,26.34,111,Low,Van,Rain,112.4,208.35,2.9
ORD0180,2026-06-29,32.0,104,High,Van,Rain,163.3,191.74,45.3
